id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
52744,26372,52745,2,343,82724810,4035,5,0,61,0,4
52745,26372,52744,343,2,17275190,1814,3,0,89,0,8
52746,26373,52747,2,281,69894541,1564,8,0,11,0,2
52747,26373,52746,281,2,30104459,3876,7,0,51,0,0
52748,26374,52749,2,359,30062735,2242,6,0,24,0,1
52749,26374,52748,359,2,69936265,4768,9,0,82,0,2
52750,26375,52751,2,252,30614127,1546,4,0,97,0,1
52751,26375,52750,252,2,69385873,4595,8,0,93,0,0
52752,26376,52753,2,334,84661601,2874,1,0,43,0,2
52753,26376,52752,334,2,15340399,2213,3,10,91,0,3
52754,26377,52755,2,58,15494783,2348,9,0,61,0,5
52755,26377,52754,58,2,84503217,2746,7,10,35,0,2
52756,26378,52757,2,189,65723000,2578,2,0,66,0,0
52757,26378,52756,189,2,34276000,3256,5,0,17,0,0
52758,26379,52759,2,1473,95018000,2988,8,10,68,0,0
52759,26379,52758,1473,2,4982000,1280,6,0,98,0,0
52760,26380,52761,2,4388,73035516,4284,4,10,72,0,1
52761,26380,52760,4388,2,26962484,4854,8,0,81,0,0
52762,26381,52763,2761,4096,88211000,3164,4,0,69,0,0
52763,26381,52762,4096,2761,11788000,3970,2,0,85,0,0
52764,26382,52765,5319,5324,22057586,1131,2,0,74,0,1
52765,26382,52764,5324,5319,77943414,1726,9,0,36,0,0
52766,26383,52767,46,5065,23141184,1684,1,10,45,0,1
52767,26383,52766,5065,46,76857816,4412,2,0,28,0,0
52768,26384,52769,3439,2520,42674000,4772,8,1000,14,0,0
52769,26384,52768,2520,3439,57325000,4945,8,100,26,0,0
52770,26385,52771,1816,3637,23936000,3150,2,0,92,0,0
52771,26385,52770,3637,1816,76063000,2097,7,0,53,0,0
52772,26386,52773,5299,227,56885000,1232,3,0,98,0,0
52773,26386,52772,227,5299,43116000,1577,6,0,62,0,0
52774,26387,52775,46,5067,32735871,4580,8,10,55,0,1
52775,26387,52774,5067,46,67265129,1527,9,10,44,0,0
52776,26388,52777,5064,5080,65224000,4237,3,0,62,0,0
52777,26388,52776,5080,5064,34777000,2565,5,0,81,0,0
52778,26389,52779,5064,1426,6359000,4421,4,0,63,0,0
52779,26389,52778,1426,5064,93641000,3535,1,0,87,0,0
52780,26390,52781,2010,5067,87872087,4523,9,10,77,0,1
52781,26390,52780,5067,2010,12127913,3026,8,0,76,0,0
52782,26391,52783,4346,5299,46377000,1206,2,0,99,0,0
52783,26391,52782,5299,4346,53622000,1006,5,0,13,0,0
52784,26392,52785,3224,4226,77722000,1722,9,0,25,0,0
52785,26392,52784,4226,3224,22278000,3630,3,0,96,0,0
52786,26393,52787,5064,1151,61016000,2374,6,0,44,0,0
52787,26393,52786,1151,5064,38983000,1558,6,0,52,0,0
52788,26394,52789,5157,1119,31092000,1139,9,0,55,0,0
52789,26394,52788,1119,5157,68908000,1409,7,0,97,0,0
52790,26395,52791,5064,4414,44424189,3241,1,10,31,0,1
52791,26395,52790,4414,5064,55573811,1526,8,0,52,0,0
52792,26396,52793,5299,177,31075909,1584,1,10,13,0,1
52793,26396,52792,177,5299,68926091,2170,5,10,54,0,0
52794,26397,52795,1618,3773,44208000,1650,1,0,98,0,0
52795,26397,52794,3773,1618,55793000,2850,2,0,19,0,0
52796,26398,52797,3086,2068,30112000,2993,1,10,86,0,0
52797,26398,52796,2068,3086,69887000,3768,7,0,67,0,0
52798,26399,52799,400,5241,109000,1337,3,1000,69,0,0
52799,26399,52798,5241,400,99891000,1146,2,0,29,0,0
52800,26400,52801,46,5241,60044529,2800,1,0,64,0,0
52801,26400,52800,5241,46,39955471,3442,6,10,22,0,1
52802,26401,52803,219,5241,55087000,1451,2,0,39,0,0
52803,26401,52802,5241,219,44912000,2175,6,0,75,0,0
52804,26402,52805,5300,4572,7609000,2600,7,0,23,0,0
52805,26402,52804,4572,5300,92389000,2350,9,0,90,0,0
52806,26403,52807,263,4607,6864000,3954,8,10,10,0,0
52807,26403,52806,4607,263,93138000,4994,3,0,73,0,0
52808,26404,52809,3676,267,16984958,4834,1,0,28,0,0
52809,26404,52808,267,3676,83013042,4499,6,0,21,0,1
52810,26405,52811,219,5329,64433000,2626,7,0,62,0,0
52811,26405,52810,5329,219,35565000,3355,3,0,74,0,0
52812,26406,52813,76,5278,21911000,4809,2,0,74,0,0
52813,26406,52812,5278,76,78088000,3436,2,10,86,0,0
52814,26407,52815,1777,5278,92239894,4188,2,0,72,0,0
52815,26407,52814,5278,1777,7760106,4478,1,1000,56,0,2
52816,26408,52817,4100,5330,59795798,4076,6,0,62,0,0
52817,26408,52816,5330,4100,40203202,3560,1,0,12,0,3
52818,26409,52819,76,5278,67771000,3457,1,10,42,0,0
52819,26409,52818,5278,76,32227000,3904,4,10,43,0,0
52820,26410,52821,130,5241,82256000,4002,4,0,58,0,0
52821,26410,52820,5241,130,17743000,3718,1,0,48,0,0
52822,26411,52823,1816,5157,89595000,4513,4,100,37,0,0
52823,26411,52822,5157,1816,10405000,3850,9,10,91,0,0
52824,26412,52825,358,1084,95369000,3038,4,0,20,0,0
52825,26412,52824,1084,358,4630000,3577,4,10,28,0,0
52826,26413,52827,349,1084,40134000,4400,6,10,37,0,0
52827,26413,52826,1084,349,59866000,1006,6,10,56,0,0
52828,26414,52829,4752,1436,81835427,1339,6,10,80,0,2
52829,26414,52828,1436,4752,18164573,1889,1,10,22,0,0
52830,26415,52831,5241,1436,77957000,3253,8,0,83,0,0
52831,26415,52830,1436,5241,22042000,2557,8,0,71,0,0
52832,26416,52833,62,5245,20993000,3542,3,0,41,0,0
52833,26416,52832,5245,62,79007000,2211,9,100,81,0,0
52834,26417,52835,3086,5245,5510000,3007,8,0,41,0,0
52835,26417,52834,5245,3086,94490000,2192,4,10,48,0,0
52836,26418,52837,5331,219,63094000,4858,2,10,31,0,0
52837,26418,52836,219,5331,36907000,1521,1,0,94,0,0
52838,26419,52839,5331,326,37673000,1536,1,0,25,0,0
52839,26419,52838,326,5331,62326000,4666,2,0,34,0,0
52840,26420,52841,5332,5333,68894000,4276,9,10,58,0,0
52841,26420,52840,5333,5332,31105000,4215,3,0,32,0,0
52842,26421,52843,46,4889,61565000,4302,7,0,39,0,0
52843,26421,52842,4889,46,38436000,3911,3,0,92,0,0
52844,26422,52845,4048,5334,47569785,4690,1,1000,87,0,1
52845,26422,52844,5334,4048,52431215,3720,8,0,71,0,0
52846,26423,52847,2010,5304,99773000,3838,3,10,18,0,0
52847,26423,52846,5304,2010,225000,3280,5,0,12,0,0
52848,26424,52849,5245,3743,99960000,3838,7,10,65,0,0
52849,26424,52848,3743,5245,39000,2031,3,0,17,0,0
52850,26425,52851,1405,5138,3322000,2334,4,0,22,0,0
52851,26425,52850,5138,1405,96678000,4389,1,10,74,0,0
52852,26426,52853,4100,4555,57201000,4680,8,0,21,0,0
52853,26426,52852,4555,4100,42798000,2354,6,0,84,0,0
52854,26427,52855,359,5329,12986000,4364,2,100,35,0,0
52855,26427,52854,5329,359,87011000,3136,7,0,36,0,0
52856,26428,52857,4036,3074,99940621,3250,1,10,97,0,0
